Rooms,Bathrooms,ProprietyType,District,AverageSellPrice,AverageRentPrice
6,3,Apartament, Porto,321125.0,1500.0
0,1,House, Porto,103854.16666666667,577.5
0,2,House, Porto,273725.0,2650.0
1,1,House, Porto,114388.08139534884,546.6666666666666
1,2,House, Porto,152792.8076923077,902.5
2,1,House, Porto,134709.59120879121,705.0
2,2,House, Porto,193370.4880546075,1038.0
2,3,House, Porto,302612.3214285714,1881.25
3,1,House, Porto,177015.71129707113,931.25
3,2,House, Porto,232112.43795620438,11650.681818181818
3,3,House, Porto,313758.92424242425,1740.0
3,4,House, Porto,396272.9841584158,2620.0
4,2,House, Porto,263890.3111888112,1241.6666666666667
4,3,House, Porto,342156.14652567974,1940.0
4,4,House, Porto,425838.36593591905,2273.0
5,2,House, Porto,250850.98039215687,1535.7142857142858
5,3,House, Porto,304001.2987012987,2750.0
5,4,House, Porto,426027.640625,2050.0
6,4,House, Porto,395700.0,1833.3333333333333
7,3,House, Porto,371000.0,1750.0
7,4,House, Porto,374227.2727272727,2200.0
0,1,Apartament, Santarém,65533.333333333336,310.0
1,1,Apartament, Santarém,95362.29508196721,437.77777777777777
2,1,Apartament, Santarém,85405.38108882522,485.2631578947368
2,2,Apartament, Santarém,125317.58695652174,560.0
3,1,Apartament, Santarém,82297.20408163265,506.25
3,2,Apartament, Santarém,109876.19732034105,564.0243902439024
3,3,Apartament, Santarém,202321.4814814815,575.0
4,2,Apartament, Santarém,123263.84146341463,408.0
4,3,Apartament, Santarém,178955.96153846153,783.3333333333334
5,2,Apartament, Santarém,114900.0,750.0
1,1,House, Santarém,57516.4375,458.3333333333333
2,1,House, Santarém,68092.33062880325,325.0
3,1,House, Santarém,81988.45833333333,510.0
3,2,House, Santarém,156373.2403628118,783.3333333333334
3,3,House, Santarém,203193.81666666668,750.0
4,2,House, Santarém,164381.0980392157,900.0
5,1,House, Santarém,94117.64705882352,360.0
5,2,House, Santarém,161932.1379310345,600.0
0,1,Apartament, Setúbal,178549.02777777778,507.8484848484849
1,1,Apartament, Setúbal,154697.13365384616,607.4368932038835
