Location;CrimeRate;CrimesAgainstPhysicalIntegrity;TheftOrRobbery;Carjacking;DrunkDriving;DrivingWithoutLicense;CrimesAgainstNationalHeritage
1500810: Olhão;43.4;7.5;1.4;5.4;1.2;1;26.2
1500811: Portimão;35.8;5.7;.8;3;1.5;1.5;17.8
1500812: São Brás de Alportel;36.6;7.1;1.3;1.7;1.3;.7;19.6
1500813: Silves;41.4;7.8;.4;3.2;1.8;.7;22
1500814: Tavira;40.3;6.1;1.3;2.3;1;1.2;23.3
1500815: Vila do Bispo;57.3;8;0;15.3;1.9;.8;33.8
1500816: Vila Real de Santo António;41.6;7.7;.8;2.3;2.6;1.9;19.5
2004301: Angra do Heroísmo;30.7;6.8;.2;1.2;1.2;1.8;13.6
2004501: Calheta;21.8;5.7;0;? ?;3.2;.9;? ?
2004901: Corvo;40.4;8.5;0;0;0;0;? ?
2004701: Horta;41.4;7.3;? ?;1.1;1.7;1;20.6
2004201: Lagoa;36.6;10.2;.3;.9;2.4;2.4;14.4
2004801: Lajes das Flores;23.3;5.5;0;0;? ?;0;11.6
2004601: Lajes do Pico;21.9;4;0;? ?;1.1;1.3;10.7
2004602: Madalena;32.3;6.3;0;.5;1.2;2.2;14.3
2004202: Nordeste;23.9;6.4;0;0;? ?;? ?;10.6
2004203: Ponta Delgada;41.7;7.8;.5;2.6;2.3;1.9;19.4
2004204: Povoação;25.4;6.4;0;? ?;1.4;.8;10.5
2004205: Ribeira Grande;57.6;13.6;.5;3.4;1.5;1.1;26.2
2004401: Santa Cruz da Graciosa;33;6.5;0;? ?;5;1.4;10.5
2004802: Santa Cruz das Flores;48.5;6.9;0;1.4;3.2;? ?;18.9
2004603: São Roque do Pico;41.8;7.9;0;1.2;1.8;3.1;16.2
2004502: Velas;34.5;5.9;0;.6;2.6;1.8;12.8
2004302: Vila da Praia da Vitória;29;5.7;? ?;1.3;1.7;1.2;14.5
2004101: Vila do Porto;23;6.1;0;? ?;.9;.9;9.1
2004206: Vila Franca do Campo;28.9;5.6;? ?;1;2.6;.6;13.5
3003101: Calheta;15.2;3.3;0;.5;3.3;.9;3.4
3003102: Câmara de Lobos;28.2;8.6;.9;1.4;4.1;1.1;8
3003103: Funchal;27.8;6.7;1;1.9;1.3;1;12.5
3003104: Machico;21.8;5.9;? ?;.6;1.4;.3;6.8
3003105: Ponta do Sol;13.4;2.8;0;.6;.5;.4;4.1
3003106: Porto Moniz;26.4;7.8;0;? ?;1.7;0;12.1
3003201: Região Autónoma da Madeira;30.6;7.7;? ?;.8;2.3;0;10.8
3003107: Ribeira Brava;28.9;8.1;0;1.1;3.7;.5;6.6
3003108: Santa Cruz;15.1;3.7;.1;.3;1.6;.5;5.4
3003109: Santana;12.5;4.1;0;.8;.9;0;4.1
3003110: São Vicente;17.2;4.3;0;? ?;5.3;1.6;2.7
