Location;HM;H;M
030875: União das freguesias de Abação e Gémeos;2684;1336;1348
030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil;3214;1581;1633
030877: União das freguesias de Arosa e Castelões;701;329;372
030878: União das freguesias de Atães e Rendufe;2579;1304;1275
030879: União das freguesias de Briteiros Santo Estêvão e Donim;2023;979;1044
030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;1685;850;835
030881: União das freguesias de Candoso São Tiago e Mascotelos;3809;1856;1953
030882: União das freguesias de Conde e Gandarela;2464;1212;1252
030883: União das freguesias de Leitões, Oleiros e Figueiredo;1438;718;720
030884: União das freguesias de Oliveira, São Paio e São Sebastião;7847;3593;4254
030885: União das freguesias de Prazins Santo Tirso e Corvite;1940;959;981
030886: União das freguesias de Sande São Lourenço e Balazar;1583;758;825
030887: União das freguesias de Sande Vila Nova e Sande São Clemente;3307;1560;1747
030888: União das freguesias de Selho São Lourenço e Gominhães;2273;1137;1136
030889: União das freguesias de Serzedo e Calvos;2269;1111;1158
030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;2044;999;1045
030891: União das freguesias de Tabuadelo e São Faustino;2414;1188;1226
030871: Urgezes;5519;2653;2866
1705: Mondim de Basto;6416;3091;3325
170501: Atei;1144;577;567
170502: Bilhó;430;200;230
170505: São Cristóvão de Mondim de Basto;2976;1419;1557
170509: União das freguesias de Campanhó e Paradança;600;286;314
170510: União das freguesias de Ermelo e Pardelhas;378;178;200
170508: Vilar de Ferreiros;888;431;457
0309: Póvoa de Lanhoso;21787;10443;11344
030906: Covelas;410;203;207
030908: Ferreiros;408;202;206
030912: Galegos;561;275;286
030913: Garfe;984;474;510
030914: Geraz do Minho;543;260;283
030915: Lanhoso;766;367;399
030917: Monsul;713;348;365
030919: Póvoa de Lanhoso (Nossa Senhora do Amparo);5623;2682;2941
030921: Rendufinho;654;329;325
030922: Santo Emilião;825;384;441
030923: São João de Rei;365;180;185
030924: Serzedelo;738;346;392
030925: Sobradelo da Goma;696;341;355
030926: Taíde;1683;805;878
030927: Travassos;606;287;319
030930: União das freguesias de Águas Santas e Moure;589;292;297
030931: União das freguesias de Calvos e Frades;742;354;388
030932: União das freguesias de Campos e Louredo;1391;687;704
030933: União das freguesias de Esperança e Brunhais;607;272;335
030934: União das freguesias de Fonte Arcada e Oliveira;1631;748;883
030935: União das freguesias de Verim, Friande e Ajude;656;312;344
030929: Vilela;596;295;301
0311: Vieira do Minho;11970;5711;6259
031105: Cantelães;741;343;398
031107: Eira Vedra;618;307;311
031108: Guilhofrei;903;428;475
031109: Louredo;396;200;196
031110: Mosteiro;688;335;353
031111: Parada de Bouro;401;205;196
031112: Pinheiro;372;175;197
031113: Rossas;1467;687;780
031115: Salamonde;343;158;185
031118: Tabuaças;888;429;459
031122: União das freguesias de Anissó e Soutelo;346;161;185
031123: União das freguesias de Anjos e Vilar do Chão;565;254;311
031124: União das freguesias de Caniçada e Soengas;517;252;265
031125: União das freguesias de Ruivães e Campos;775;367;408
031126: União das freguesias de Ventosa e Cova;577;268;309
031120: Vieira do Minho;2373;1142;1231
0312: Vila Nova de Famalicão;133590;64434;69156
031204: Bairro;3200;1526;1674
031206: Brufe;2297;1112;1185
031210: Castelões;2083;1004;1079
031212: Cruz;1651;802;849
031213: Delães;3981;1919;2062
031215: Fradelos;3893;1921;1972
031216: Gavião;3879;1825;2054
031219: Joane;7948;3853;4095
031221: Landim;2833;1377;1456
031223: Louro;2216;1070;1146
031224: Lousado;3881;1868;2013
031225: Mogege;1879;915;964
031227: Nine;3018;1463;1555
031239: Oliveira (Santa Maria);3281;1606;1675
031242: Oliveira (São Mateus);2420;1136;1284
031230: Pedome;1996;959;1037
031232: Pousada de Saramagos;2179;1033;1146
031233: Requião;3185;1550;1635
031234: Riba de Ave;3196;1516;1680
031235: Ribeirão;9059;4410;4649
031250: União das freguesias de Antas e Abade de Vermoim;8197;3886;4311
031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;3535;1722;1813
031252: União das freguesias de Avidos e Lagoa;2538;1214;1324
031253: União das freguesias de Carreira e Bente;2355;1154;1201
031254: União das freguesias de Esmeriz e Cabeçudos;3617;1771;1846
031255: União das freguesias de Gondifelos, Cavalões e Outiz;5136;2427;2709
031256: União das freguesias de Lemenhe, Mouquim e Jesufrei;3139;1564;1575
031257: União das freguesias de Ruivães e Novais;2813;1392;1421
